"Date","Price","Open","High","Low","Vol.","Change %"
"03/16/2023","67.40","67.90","68.00","67.00","94.58K","0.00%"
"03/15/2023","67.40","67.00","67.50","66.00","29.54K","0.60%"
"03/14/2023","67.00","66.00","67.00","66.00","21.98K","-0.74%"
"03/13/2023","67.50","67.90","67.90","67.40","62.90K","-0.59%"
"03/10/2023","67.90","68.00","68.40","67.50","381.72K","-0.15%"
"03/09/2023","68.00","67.40","68.00","66.00","75.47K","-0.29%"
"03/08/2023","68.20","67.50","68.30","67.50","300.50K","1.04%"
"03/07/2023","67.50","66.20","67.80","66.20","839.41K","2.27%"
"03/03/2023","66.00","64.70","66.20","64.50","946.46K","2.01%"
"03/02/2023","64.70","64.00","65.00","63.10","178.11K","1.25%"
"03/01/2023","63.90","64.40","64.90","63.50","28.42K","0.31%"
"02/28/2023","63.70","63.60","64.50","63.10","45.59K","-0.47%"
"02/27/2023","64.00","63.50","64.00","63.50","36.04K","-0.62%"
"02/24/2023","64.40","63.70","65.00","63.50","1.17M","0.94%"
"02/23/2023","63.80","64.00","65.00","63.80","123.23K","0.63%"
"02/22/2023","63.40","64.00","65.40","63.00","1.41M","-1.09%"
"02/21/2023","64.10","62.30","64.20","62.30","516.65K","0.31%"
"02/20/2023","63.90","62.60","64.30","62.10","4.96M","1.59%"
"02/17/2023","62.90","62.00","63.00","62.00","224.50K","1.45%"
"02/16/2023","62.00","60.10","62.00","60.00","709.68K","5.08%"
"02/15/2023","59.00","60.20","60.20","58.50","83.02K","-1.67%"
"02/14/2023","60.00","60.00","60.20","58.40","60.60K","0.00%"
"02/13/2023","60.00","59.90","60.20","59.50","55.83K","0.00%"
"02/10/2023","60.00","59.50","60.20","59.50","97.01K","0.67%"
"02/09/2023","59.60","58.20","60.20","58.20","21.14K","-0.67%"
"02/08/2023","60.00","59.00","60.00","58.20","17.66K","0.00%"
"02/07/2023","60.00","60.00","60.00","59.20","46.54K","-0.66%"
"02/06/2023","60.40","60.00","60.90","58.00","118.65K","0.67%"
